nro,empresa,origen,sector,gradoAvanceRadicación,direccion,direccion2,latitude,longitude,noticias,url,meta keywords (de la pagina web),linkedin,"linkedin class=""basic-info-description""","nombre completo (<span itemprop=""name"">EMPRESA</span>) de Cuit Online",cuit,cuit online,,latitud,longitud,g_lat,g_lon,LineString,URL Google Maps,URL OSM,URL Gob,CALLE,NRO,Asignee,ExtraCol
106,STAFFING IT,Nac.,SOFTWARE,En Operación,"Manuel Garcia 50, PISO 1",MANUEL GARCIA 50,-34.636214,-58.39716,[],,,,,,,,,-34.636214,-58.39716,-34.6362024,-58.3971241,"LINESTRING(-58.39716 -34.636214,-58.3971241 -34.6362024)","https://maps.googleapis.com/maps/api/geocode/json?address=MANUEL GARCIA 50, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MANUEL GARCIA 50, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.405875 -34.634845, -58.4059878 -34.6349557)"
107,m2-MARKETINMETRICS,Nac.,BPO,En Operación,LUNA 17 PISO 5,LUNA 17,-34.636532,-58.400428,[],,,,,,,,,-34.636532,-58.400428,-34.6365061,-58.4003738,"LINESTRING(-58.400428 -34.636532,-58.4003738 -34.6365061)","https://maps.googleapis.com/maps/api/geocode/json?address=LUNA 17, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LUNA 17, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.39716 -34.636214, -58.3971241 -34.6362024)"
108,ADP CONSULTORES,Ext.,BPO,En Operación,CASEROS 3392,AV. CASEROS 3392,-34.638467,-58.412944,[],,,,,,,,,-34.638467,-58.412944,-34.638501,-58.4129369,"LINESTRING(-58.412944 -34.638467,-58.4129369 -34.638501)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3392, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3392, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400428 -34.636532, -58.4003738 -34.6365061)"
110,TELINFOR,Nac.,BPO,En operación,CATULO CASTILLO 2630 PISO 2B,CATULO CASTILLO 2630,-34.63289,-58.400638,[],,,,,,,,,-34.63289,-58.400638,-34.6329011,-58.4006107,"LINESTRING(-58.400638 -34.63289,-58.4006107 -34.6329011)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 2630, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 2630, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.412944 -34.638467, -58.4129369 -34.638501)"
112,QUASS SRL,Nac.,SOFTWARE,En Operación,"Jujuy 1963, piso 6to B",AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400638 -34.63289, -58.4006107 -34.6329011)"
113,B2CLOUD,Nac.,BPO,En Operación,"Jujuy 1963, piso 3ro B",AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
114,POSNET,Ext.,DATA CENTER,En Operación,RONDEAU 3439/59 ,RONDEAU 3439,-34.637033,-58.41272,[],,,,,,,,,-34.637033,-58.41272,-34.6368103,-58.4128125,"LINESTRING(-58.41272 -34.637033,-58.4128124999999 -34.6368103)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 3439, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 3439, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
115,FIRST DATA,Ext.,DATA CENTER,En Operación,RONDEAU 3439/59 ,RONDEAU 3439,-34.637033,-58.41272,[],,,,,,,,,-34.637033,-58.41272,-34.6368103,-58.4128125,"LINESTRING(-58.41272 -34.637033,-58.4128124999999 -34.6368103)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 3439, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 3439, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.41272 -34.637033, -58.4128124999999 -34.6368103)"
116,TR ARGENTINA,Nac.,BPO,En Operación,CATULO CASTILLO 2630 PISO 3A,CATULO CASTILLO 2630,-34.63289,-58.400638,[],,,,,,,,,-34.63289,-58.400638,-34.6329011,-58.4006107,"LINESTRING(-58.400638 -34.63289,-58.4006107 -34.6329011)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 2630, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 2630, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.41272 -34.637033, -58.4128124999999 -34.6368103)"
117,POWER CONSULTANT,Nac.,BPO,En Operación,GRITO DE ASENCIO 3650,GRITO DE ASENCIO 3650,-34.647991,-58.412996,[],,,,,,,,,-34.647991,-58.412996,-34.6479518,-58.4129726,"LINESTRING(-58.412996 -34.647991,-58.4129726 -34.6479518)","https://maps.googleapis.com/maps/api/geocode/json?address=GRITO DE ASENCIO 3650, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=GRITO DE ASENCIO 3650, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400638 -34.63289, -58.4006107 -34.6329011)"
118,CONSULTORA NÚCLEO,Nac.,BPO,En Operación,CASEROS 3405 PISO 5,AV. CASEROS 3405,-34.638397,-58.413379,[],,,,,,,,,-34.638397,-58.413379,-34.6384366,-58.4133676,"LINESTRING(-58.413379 -34.638397,-58.4133676 -34.6384366)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3405, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3405, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.412996 -34.647991, -58.4129726 -34.6479518)"
119,PAGUSTECH,Nac.,SOFTWARE,En Operación,CASEROS 3227 PISO 6C,AV. CASEROS 3227,-34.637758,-58.409748,[],,,,,,,,,-34.637758,-58.409748,-34.6377278,-58.40985,"LINESTRING(-58.409748 -34.637758,-58.40985 -34.6377278)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3227, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3227, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.413379 -34.638397, -58.4133676 -34.6384366)"
120,GRUPO TBT,Nac.,SOFTWARE,En Operación,JUJUY 1963 PISO 3B,AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.409748 -34.637758, -58.40985 -34.6377278)"
121,DARUMA,Nac.,SOFTWARE,En Operación,JUJUY 1915 PISO 6B,AV. JUJUY 1915,-34.632942,-58.400126,[],,,,,,,,,-34.632942,-58.400126,-34.6328125,-58.4001099,"LINESTRING(-58.400126 -34.632942,-58.4001099 -34.6328125)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1915, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1915, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
122,COVEDISA,Nac.,BPO,En Operación,USPALLATA 2953,USPALLATA 2953,-34.639371,-58.404205,[],,,,,,,,,-34.639371,-58.404205,-34.6393958,-58.4042745,"LINESTRING(-58.404205 -34.639371,-58.4042745 -34.6393958)","https://maps.googleapis.com/maps/api/geocode/json?address=USPALLATA 2953, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=USPALLATA 2953, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400126 -34.632942, -58.4001099 -34.6328125)"
123,SILK TECH,Nac.,BPO,En Obra,"Av. Caseros 2602, piso 8",AV. CASEROS 2602,-34.636011,-58.399064,[],,,,,,,,,-34.636011,-58.399064,-34.6359238,-58.3988878,"LINESTRING(-58.399064 -34.636011,-58.3988878 -34.6359238)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 2602, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 2602, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.404205 -34.639371, -58.4042745 -34.6393958)"
124,DAEVA,Nac.,SOFTWARE,En Operación,"Pedro Chutro 3135 , oficina 101/102",PEDRO CHUTRO 3135,-34.642325,-58.406697,[],,,,,,,,,-34.642325,-58.406697,-34.6423478,-58.4066662,"LINESTRING(-58.406697 -34.642325,-58.4066662 -34.6423478)","https://maps.googleapis.com/maps/api/geocode/json?address=PEDRO CHUTRO 3135, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PEDRO CHUTRO 3135, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.399064 -34.636011, -58.3988878 -34.6359238)"
125,NEC,Nac.,HARDWARE,En Operación,ATUEL 471 ,ATUEL 471,-34.643403,-58.40727,[],,,,,,,,,-34.643403,-58.40727,-34.6433899,-58.4073412,"LINESTRING(-58.40727 -34.643403,-58.4073412 -34.6433899)","https://maps.googleapis.com/maps/api/geocode/json?address=ATUEL 471, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ATUEL 471, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.406697 -34.642325, -58.4066662 -34.6423478)"
126,TI SISTEMAS,Nac.,BPO,En operación,RONDEAU 2664 PISO 5B.,RONDEAU 2664,-34.634976,-58.400256,[],,,,,,,,,-34.634976,-58.400256,-34.6349489,-58.4003402,"LINESTRING(-58.400256 -34.634976,-58.4003402 -34.6349489)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2664, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2664, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.40727 -34.643403, -58.4073412 -34.6433899)"
127,SIF AMERICA,Nac.,SOFTWARE,En Operación,DR. PEDRO CHUTRO 3135,DR. PEDRO CHUTRO 3135,-34.642325,-58.406697,[],,,,,,,,,-34.642325,-58.406697,-34.6423478,-58.4066662,"LINESTRING(-58.406697 -34.642325,-58.4066662 -34.6423478)","https://maps.googleapis.com/maps/api/geocode/json?address=DR. PEDRO CHUTRO 3135, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DR. PEDRO CHUTRO 3135, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400256 -34.634976, -58.4003402 -34.6349489)"
128,GLD CONSULTORES,Nac.,SOFTWARE,En Operación,CASEROS 3405 PISO 3.,AV. CASEROS 3405,-34.638397,-58.413379,[],,,,,,,,,-34.638397,-58.413379,-34.6384366,-58.4133676,"LINESTRING(-58.413379 -34.638397,-58.4133676 -34.6384366)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3405, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3405, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.406697 -34.642325, -58.4066662 -34.6423478)"
129,MOVILGATE,Nac.,SOFTWARE,En Operación,PATAGONES 2827 PISO 5.,PATAGONES 2827,-34.637695,-58.402283,[],,,,,,,,,-34.637695,-58.402283,-34.637673,-58.402214,"LINESTRING(-58.402283 -34.637695,-58.402214 -34.637673)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2827, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2827, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.413379 -34.638397, -58.4133676 -34.6384366)"
130,TELEFONICA GLOBAL TECHNOLOGY,Ext.,BPO,En Operación,CHICLANA 3345,CHICLANA 3345,-34.63447,-58.411518,[],,,,,,,,,-34.63447,-58.411518,-34.6344402,-58.4119357,"LINESTRING(-58.411518 -34.63447,-58.4119357 -34.6344402)","https://maps.googleapis.com/maps/api/geocode/json?address=CHICLANA 3345, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CHICLANA 3345, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.402283 -34.637695, -58.402214 -34.637673)"
131,AIV (Central de pasajes),Nac.,e-COMMERCE,En Operación,AMANCIO ALCORTA 2801,AMANCIO ALCORTA 2801,-34.644872,-58.400863,[],,,,,,,,,-34.644872,-58.400863,-34.644923,-58.4009322,"LINESTRING(-58.400863 -34.644872,-58.4009322 -34.644923)","https://maps.googleapis.com/maps/api/geocode/json?address=AMANCIO ALCORTA 2801, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AMANCIO ALCORTA 2801, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.411518 -34.63447, -58.4119357 -34.6344402)"
132,DAXA,Ext.,SOFTWARE,En Obra,"Av. Caseros 2602, piso 8",AV. CASEROS 2602,-34.636011,-58.399064,[],,,,,,,,,-34.636011,-58.399064,-34.6359238,-58.3988878,"LINESTRING(-58.399064 -34.636011,-58.3988878 -34.6359238)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 2602, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 2602, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.400863 -34.644872, -58.4009322 -34.644923)"
133,CENTRY SA,Nac.,HARDWARE,En Operación,Cachi 774/776,CACHI 774,-34.651746,-58.410991,[],,,,,,,,,-34.651746,-58.410991,-34.6517679,-58.4110255,"LINESTRING(-58.410991 -34.651746,-58.4110254999999 -34.6517679)","https://maps.googleapis.com/maps/api/geocode/json?address=CACHI 774, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CACHI 774, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.399064 -34.636011, -58.3988878 -34.6359238)"
134,BIBLOS,Nac.,BPO,En Operación,CHICLANA 3345 PISO 6.,CHICLANA 3345,-34.63447,-58.411518,[],,,,,,,,,-34.63447,-58.411518,-34.6344402,-58.4119357,"LINESTRING(-58.411518 -34.63447,-58.4119357 -34.6344402)","https://maps.googleapis.com/maps/api/geocode/json?address=CHICLANA 3345, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CHICLANA 3345, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.410991 -34.651746, -58.4110254999999 -34.6517679)"
135,AVANTRIP,Nac.,BPO,En Operación,CHICLANA 3345 PISO 7.,CHICLANA 3345,-34.63447,-58.411518,[],,,,,,,,,-34.63447,-58.411518,-34.6344402,-58.4119357,"LINESTRING(-58.411518 -34.63447,-58.4119357 -34.6344402)","https://maps.googleapis.com/maps/api/geocode/json?address=CHICLANA 3345, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CHICLANA 3345, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.411518 -34.63447, -58.4119357 -34.6344402)"
136,OVERNET,Nac.,SOFTWARE,En Operación,"JUJUY 1875, 2do piso",AV. JUJUY 1875,-34.632356,-58.400354,[],,,,,,,,,-34.632356,-58.400354,-34.6323198,-58.4003103,"LINESTRING(-58.400354 -34.632356,-58.4003102999999 -34.6323198)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1875, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1875, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.411518 -34.63447, -58.4119357 -34.6344402)"
137,ADMINISTRADORA DE MONEDEROS ELECTRONICOS (AME),Nac.,BPO,En Operación,MANUEL GARCIA 50 PISO 2.,MANUEL GARCIA 50,-34.636214,-58.39716,[],,,,,,,,,-34.636214,-58.39716,-34.6362024,-58.3971241,"LINESTRING(-58.39716 -34.636214,-58.3971241 -34.6362024)","https://maps.googleapis.com/maps/api/geocode/json?address=MANUEL GARCIA 50, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MANUEL GARCIA 50, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.400354 -34.632356, -58.4003102999999 -34.6323198)"
138,SOLUCIONES WORKOUT,Nac.,SOFTWARE,En Obra,24 DE NOVIEMBRE 2115,24 DE NOVIEMBRE 2115,-34.63574,-58.409296,[],,,,,,,,,-34.63574,-58.409296,-34.6365067,-58.4091427,"LINESTRING(-58.409296 -34.63574,-58.4091427 -34.6365067)","https://maps.googleapis.com/maps/api/geocode/json?address=24 DE NOVIEMBRE 2115, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=24 DE NOVIEMBRE 2115, CABA, Argentina&format=json",http://ws.usig.buenosaires.gob.ar/rest/normalizar_direcciones?calle=24 DE NOVIEMBRE&altura=2115&desambiguar=1,24 DE NOVIEMBRE,2115,JS,"LINESTRING (-58.39716 -34.636214, -58.3971241 -34.6362024)"
139,SOF TUR,Nac.,SOFTWARE,En Operación,ACHALA 3527,ACHALA 3527,-34.642636,-58.413688,[],,,,,,,,,-34.642636,-58.413688,-34.6426795,-58.4137106,"LINESTRING(-58.413688 -34.642636,-58.4137105999999 -34.6426795)","https://maps.googleapis.com/maps/api/geocode/json?address=ACHALA 3527, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ACHALA 3527, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.409296 -34.63574, -58.4091427 -34.6365067)"
140,CORPORATE CORP,Nac.,HARDWARE,En Operación,PUNA 3540,PUNA 3540,-34.641642,-58.41344,[],,,,,,,,,-34.641642,-58.41344,-34.6416178,-58.4134113,"LINESTRING(-58.41344 -34.641642,-58.4134113 -34.6416178)","https://maps.googleapis.com/maps/api/geocode/json?address=PUNA 3540, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PUNA 3540, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.413688 -34.642636, -58.4137105999999 -34.6426795)"
141,BAITCON,Nac.,BPO,En Operación,CATULO CASTILLO 3250 A.,CATULO CASTILLO 3250,-34.635657,-58.410028,[],,,,,,,,,-34.635657,-58.410028,-34.6356116,-58.4099686,"LINESTRING(-58.410028 -34.635657,-58.4099686 -34.6356116)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 3250, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 3250, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.41344 -34.641642, -58.4134113 -34.6416178)"
142,INTERSERVICES CONSULTING,Nac.,BPO,En Operación,CATULO CASTILLO 3250 B.,CATULO CASTILLO 3250,-34.635657,-58.410028,[],,,,,,,,,-34.635657,-58.410028,-34.6356116,-58.4099686,"LINESTRING(-58.410028 -34.635657,-58.4099686 -34.6356116)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 3250, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 3250, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.410028 -34.635657, -58.4099686 -34.6356116)"
145,RENXO,Nac.,SOFTWARE,En Operación,CASEROS 3405 PISO 4.,AV. CASEROS 3405,-34.638397,-58.413379,[],,,,,,,,,-34.638397,-58.413379,-34.6384366,-58.4133676,"LINESTRING(-58.413379 -34.638397,-58.4133676 -34.6384366)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3405, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3405, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.410028 -34.635657, -58.4099686 -34.6356116)"
146,AKAROMSOFT,Nac.,SOFTWARE,En Operación,AV. JUJUY 1963 PISO 9C.,AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.413379 -34.638397, -58.4133676 -34.6384366)"
147,TMF ARGENTINA,Ext.,BPO,En Operación,CHICLANA 3345 PISO 4º y 5º.,CHICLANA 3345,-34.63447,-58.411518,[],,,,,,,,,-34.63447,-58.411518,-34.6344402,-58.4119357,"LINESTRING(-58.411518 -34.63447,-58.4119357 -34.6344402)","https://maps.googleapis.com/maps/api/geocode/json?address=CHICLANA 3345, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CHICLANA 3345, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
148,VALID,Ext.,BPO,En Operación,JOSE C. PAZ 3640 PB,JOSE C. PAZ 3640,-34.645734,-58.413584,[],,,,,,,,,-34.645734,-58.413584,-34.6457829,-58.4135821,"LINESTRING(-58.413584 -34.645734,-58.4135821 -34.6457829)","https://maps.googleapis.com/maps/api/geocode/json?address=JOSE C. PAZ 3640, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=JOSE C. PAZ 3640, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.411518 -34.63447, -58.4119357 -34.6344402)"
149,SMARTWAY,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 3072 PISO 3° OF 105,CATULO CASTILLO 3072,-34.635054,-58.407196,[],,,,,,,,,-34.635054,-58.407196,-34.6351698,-58.4074437,"LINESTRING(-58.407196 -34.635054,-58.4074436999999 -34.6351698)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 3072, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 3072, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.413584 -34.645734, -58.4135821 -34.6457829)"
150,SONDEOS,Nac.,SOFTWARE,En Operación,DR. PEDRO CHUTRO 3135 PISO 2°B.,DR. PEDRO CHUTRO 3135,-34.642325,-58.406697,[],,,,,,,,,-34.642325,-58.406697,-34.6423478,-58.4066662,"LINESTRING(-58.406697 -34.642325,-58.4066662 -34.6423478)","https://maps.googleapis.com/maps/api/geocode/json?address=DR. PEDRO CHUTRO 3135, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DR. PEDRO CHUTRO 3135, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.407196 -34.635054, -58.4074436999999 -34.6351698)"
151,SYSTEMSCORP ,Nac.,BPO,En Operación,DEL TIGRE 3867/69,DEL TIGRE 3867,-34.645375,-58.415508,[],,,,,,,,,-34.645375,-58.415508,-34.6453862,-58.4155777,"LINESTRING(-58.415508 -34.645375,-58.4155777 -34.6453862)","https://maps.googleapis.com/maps/api/geocode/json?address=DEL TIGRE 3867, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DEL TIGRE 3867, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.406697 -34.642325, -58.4066662 -34.6423478)"
153,BDO,Nac.,BPO,En Operación,RONDEAU 2664 PISO PB y 1.,RONDEAU 2664,-34.634976,-58.400256,[],,,,,,,,,-34.634976,-58.400256,-34.6349489,-58.4003402,"LINESTRING(-58.400256 -34.634976,-58.4003402 -34.6349489)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2664, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2664, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.415508 -34.645375, -58.4155777 -34.6453862)"
154,AGEN,Nac.,HARDWARE,En Operación,"CORTEJARENA, JOSE A. 3205",JOSE A CORTEJARENA 3205,-34.643735,-58.407431,[],,,,,,,,,-34.643735,-58.407431,-34.6437232,-58.407239,"LINESTRING(-58.407431 -34.643735,-58.407239 -34.6437232)","https://maps.googleapis.com/maps/api/geocode/json?address=JOSE A CORTEJARENA 3205, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=JOSE A CORTEJARENA 3205, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.400256 -34.634976, -58.4003402 -34.6349489)"
155,BPD SOLUTIONS,Nac.,SOFTWARE,En Operación,DEAN FUNES 2148,DEAN FUNES 2148,-34.636198,-58.40385,[],,,,,,,,,-34.636198,-58.40385,-34.6362595,-58.4038305,"LINESTRING(-58.40385 -34.636198,-58.4038305 -34.6362595)","https://maps.googleapis.com/maps/api/geocode/json?address=DEAN FUNES 2148, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DEAN FUNES 2148, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.407431 -34.643735, -58.407239 -34.6437232)"
156,CATALINAS CENTER,Nac.,BPO,En Obra,PATAGONES 2766,PATAGONES 2766,-34.63755,-58.401189,[],,,,,,,,,-34.63755,-58.401189,-34.6376207,-58.4012756,"LINESTRING(-58.401189 -34.63755,-58.4012756 -34.6376207)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2766, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2766, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,JS,"LINESTRING (-58.40385 -34.636198, -58.4038305 -34.6362595)"
